NUMBER,SCIENTIFIC NAME,CODE,DBH (CM),HEIGHT (M),GROUND AREA (M2),TREE CONDITION,LEAF AREA (M2),LEAF BIOMASS (KG),LEAF AREA INDEX,CARBON STORAGE (KG),GROSS CARBON SEQ. (KG/YR),TREE VALUE ($),STREET TREE,NATIVE TO STATE,FUTURE DBH(CM),FUTURE HEIGHT (M),BIOMASS ADJUSTMENT,LEAF TYPE,FUTURE BIOMASS (KG)
550,AB ABFI,ABFI,25,8.2,2.269806,GOOD,2.8378917988,0.3997030702,1.2502794506,100.59123194,5.8996729328,96497.936336,NO,NO,25.708615044,8.2714283965,1,EVERGREEN,212.98180975
944,AB1 ABGR4,ABGR4,4.7958315233,2.1,2.269806,GOOD,5.9729894901,0.4472460915,2.6314977976,2.6220095136,1.3345404615,4054.9347974,NO,NO,5.6955337705,2.1906899865,1,DECIDUOUS,7.9130999503
103,AC ACBU,ACBU,30,7.3,11.945934,GOOD,50.909612951,6.2851374014,4.2616686942,183.96249346,22.986754325,120965.73421,YES,NO,31.60147,7.461428176,0.8,DECIDUOUS,413.89849556
104,AC ACBU,ACBU,26,8.5,13.854456,GOOD,69.251212897,8.5495324565,4.9984793988,137.5368353,19.687431003,95489.649679,YES,NO,27.60147,8.661428176,0.8,DECIDUOUS,314.4485326
634,AC ACBU,ACBU,36,8.4,31.172526,GOOD,204.92364282,25.299215163,6.5738542594,280.44882879,29.074521414,199204.57466,YES,NO,37.60147,8.561428176,0.8,DECIDUOUS,619.04670041
636,AC ACBU,ACBU,50,10.5,38.4846,GOOD,305.20363712,37.679461373,7.9305394137,597.12265094,44.377312174,363525.31989,YES,NO,51.60147,10.661428176,0.8,DECIDUOUS,1282.9999262
638,AC ACBU,ACBU,33,9.6,28.2744,GOOD,201.53048395,24.880306661,7.1276661556,236.35523916,26.552872224,170953.41664,YES,NO,34.60147,9.761428176,0.8,DECIDUOUS,525.81622277
936,AC ACBU,ACBU,33,9.6,21.237216,GOOD,123.12378099,15.200466789,5.7975480869,236.35523916,26.552872224,170953.41664,YES,NO,34.60147,9.761428176,0.8,DECIDUOUS,525.81622277
1021,AC ACBU,ACBU,20,9.5,12.5664,GOOD,33.856297148,4.1797897714,2.6941922228,79.412156944,14.693045733,76919.368915,NO,NO,21.60147,9.661428176,0.8,DECIDUOUS,188.21040535
1019,AC ACBU,ACBU,33,14.3,23.75835,GOOD,113.51553696,14.014263822,4.7779217393,254.41816783,28.021316351,170953.41664,NO,NO,34.60147,14.461428176,0.8,DECIDUOUS,564.87896836
1020,AC ACBU,ACBU,30,13.2,19.635,GOOD,94.049900051,11.611098772,4.7899108761,203.74368366,24.75445834,145158.88105,NO,NO,31.60147,13.361428176,0.8,DECIDUOUS,456.996284
1195,AC ACBU,ACBU,16,9.4,13.202574,GOOD,95.032347559,11.732388588,7.1980166564,49.034281929,11.363117977,47721.991183,YES,NO,17.60147,9.561428176,0.8,DECIDUOUS,120.79479981
1145,AC ACFRJE,ACFRJE,14.611639196,5,13.202574,GOOD,27.573839164,1.5519195723,2.088519948,44.715007704,6.4042946938,8495.9114679,NO,NO,15.511341443,5.0906899865,1,DECIDUOUS,102.2386048
1148,AC ACFRJE,ACFRJE,8.1240384046,4,7.0686,GOOD,22.207213592,1.2498734476,3.1416707116,9.5635265092,4.6888877577,2139.0795735,NO,NO,9.7255084046,4.161428176,0.8,DECIDUOUS,28.504828534
136,AC ACPA,ACPA,11.313708499,3,2.544696,GOOD,6.2114938184,0.3495972676,2.4409571196,23.710094074,4.4840856245,26445.858583,NO,NO,12.213410746,3.0906899865,1,DECIDUOUS,56.388359398
139,AC ACPA,ACPA,3,2.5,1.76715,GOOD,3.9310806596,0.2212503301,2.2245313978,1.2650161798,0.9794010788,1859.4744316,NO,NO,3.8997022472,2.5906899865,1,DECIDUOUS,4.4888345171
145,AC ACPA,ACPA,45,8,100.287726,GOOD,394.94930689,22.228662312,3.938161953,456.5251143,38.036493179,298697.78336,NO,NO,46.60147,8.161428176,0.8,DECIDUOUS,989.12321495
144,AC ACPA,ACPA,21.260291625,8,63.6174,GOOD,251.91376912,14.178290753,3.9598249712,109.68580295,10.602130974,84016.278177,NO,NO,22.159993873,8.0906899865,1,DECIDUOUS,240.57586784
224,AC ACPA,ACPA,25,10,72.382464,GOOD,47.819665119,2.6914015781,0.6606526288,162.48777513,10.388245564,107627.14938,NO,NO,25.708615044,10.071428396,1,DECIDUOUS,345.75204139
220,AC ACPA,ACPA,22.203603311,7.7,10.178784,GOOD,14.902904448,0.8387700008,1.4641144215,119.78320236,11.113220223,89611.918173,NO,NO,23.103305558,7.7906899865,1,DECIDUOUS,261.79284517
219,AC ACPA,ACPA,24,15.2,36.316896,GOOD,23.992852811,1.3503733612,0.6606526288,163.18238315,10.611392778,100939.67719,NO,NO,24.708615044,15.271428396,1,DECIDUOUS,347.58755185
268,AC ACPA,ACPA,5,2.3,0.282744,GOOD,2.107008288,0.1185873096,7.452,3.02405031,2.599148423,5165.2067545,NO,NO,6.60147,2.461428176,0.8,DECIDUOUS,11.246397466
269,AC ACPA,ACPA,5,2.3,0.282744,GOOD,1.4440766929,0.081275983,5.1073645874,3.7800628876,1.6865087862,5165.2067545,NO,NO,5.8997022472,2.3906899865,1,DECIDUOUS,10.933143347
270,AC ACPA,ACPA,5,2.3,0.282744,GOOD,1.4440766929,0.081275983,5.1073645874,3.7800628876,1.6865087862,5165.2067545,NO,NO,5.8997022472,2.3906899865,1,DECIDUOUS,10.933143347
271,AC ACPA,ACPA,5,2.3,0.282744,GOOD,1.4440766929,0.081275983,5.1073645874,3.7800628876,1.6865087862,5165.2067545,NO,NO,5.8997022472,2.3906899865,1,DECIDUOUS,10.933143347
272,AC ACPA,ACPA,5,2.3,0.282744,GOOD,1.4440766929,0.081275983,5.1073645874,3.7800628876,1.6865087862,5165.2067545,NO,NO,5.8997022472,2.3906899865,1,DECIDUOUS,10.933143347
273,AC ACPA,ACPA,5,2.3,0.282744,GOOD,1.4440766929,0.081275983,5.1073645874,3.7800628876,1.6865087862,5165.2067545,NO,NO,5.8997022472,2.3906899865,1,DECIDUOUS,10.933143347
274,AC ACPA,ACPA,5,2.3,0.282744,GOOD,1.4440766929,0.081275983,5.1073645874,3.7800628876,1.6865087862,5165.2067545,NO,NO,5.8997022472,2.3906899865,1,DECIDUOUS,10.933143347
297,AC ACPA,ACPA,34.249087579,5.5,63.6174,GOOD,289.73935665,16.307202482,4.5544042455,238.37313487,26.379949615,182417.65468,NO,NO,35.850557579,5.661428176,0.8,DECIDUOUS,529.50616897
304,AC ACPA,ACPA,21.633307653,5.5,22.061886,GOOD,69.331414604,3.9021326939,3.142587837,86.0075173,15.084722469,14366.657094,NO,NO,23.234777653,5.661428176,0.8,DECIDUOUS,202.18447954
314,AC ACPA,ACPA,3,2.2,1.327326,GOOD,2.8137164356,0.158362482,2.1198382579,1.233171053,0.9618817133,1859.4744316,NO,NO,3.8997022472,2.2906899865,1,DECIDUOUS,4.3901055325
321,AC ACPA,ACPA,3,3,1.539384,GOOD,6.3407965228,0.3568747235,4.1190479587,1.0534673624,1.6154354444,1859.4744316,NO,NO,4.60147,3.161428176,0.8,DECIDUOUS,5.3378056135
318,AC ACPA,ACPA,4,4.5,2.544696,GOOD,9.1695070628,0.5160811084,3.6033801534,2.1454186277,2.280182898,3305.7323229,NO,NO,5.60147,4.661428176,0.8,DECIDUOUS,8.8512030513
320,AC ACPA,ACPA,4,4.5,1.130976,GOOD,6.7930033751,0.3823259732,6.0063196524,2.1454186277,2.280182898,3305.7323229,NO,NO,5.60147,4.661428176,0.8,DECIDUOUS,8.8512030513
355,AC ACPA,ACPA,8,2.7,1.539384,GOOD,3.5966734989,0.20242912,2.3364368467,8.6977834837,4.415791281,13222.929292,NO,NO,9.60147,2.861428176,0.8,DECIDUOUS,26.227149529
374,AC ACPA,ACPA,5.6568542495,2.4,1.130976,GOOD,5.1172317698,0.2880096635,4.5246157034,3.989860939,2.9784984311,6611.4646458,NO,NO,7.2583242495,2.561428176,0.8,DECIDUOUS,13.93671874
403,AC ACPA,ACPA,14,4.5,6.157536,GOOD,20.249488198,1.1396881253,3.2885700056,32.053985233,8.8332119653,49077.647963,NO,NO,15.60147,4.661428176,0.8,DECIDUOUS,81.774394396
494,AC ACPA,ACPA,10.630145813,4.2,7.0686,GOOD,17.181586001,0.9670194796,2.4306915091,17.337113648,6.3800151242,23346.73453,NO,NO,12.231615813,4.361428176,0.8,DECIDUOUS,47.434257544
501,AC ACPA,ACPA,15,5,7.0686,GOOD,24.844723914,1.3983186411,3.5148012215,37.890981039,9.6822946746,53035.539667,NO,NO,16.60147,5.161428176,0.8,DECIDUOUS,95.146551427
499,AC ACPA,ACPA,19,4.4,4.523904,GOOD,14.556127052,0.8192525653,3.2176029934,62.710165439,12.653044869,71596.686968,NO,NO,20.60147,4.561428176,0.8,DECIDUOUS,150.72642062
534,AC ACPA,ACPA,3,2.3,1.130976,GOOD,3.5436762718,0.1994463133,3.1332904251,1.2438559635,0.9677558772,1859.4744316,NO,NO,3.8997022472,2.3906899865,1,DECIDUOUS,4.4232236814
533,AC ACPA,ACPA,3,2.3,0.502656,GOOD,1.6472378614,0.0927103644,3.277067938,1.2438559635,0.9677558772,1859.4744316,NO,NO,3.8997022472,2.3906899865,1,DECIDUOUS,4.4232236814
528,AC ACPA,ACPA,15,7.5,4.90875,GOOD,27.111807461,1.5259153573,5.5231591466,40.683122838,10.192458049,53035.539667,NO,NO,16.60147,7.661428176,0.8,DECIDUOUS,101.75116178
540,AC ACPA,ACPA,11,5,1.76715,GOOD,4.9326606735,0.2776215745,2.7913084195,24.047914375,4.5803658357,24999.600692,NO,NO,11.899702247,5.0906899865,1,DECIDUOUS,57.256560421
539,AC ACPA,ACPA,10,5,1.76715,GOOD,5.3510791124,0.3011711339,3.028084267,19.549632869,4.0998966783,20660.827018,NO,NO,10.899702247,5.0906899865,1,DECIDUOUS,47.299059095
538,AC ACPA,ACPA,10,5,1.130976,GOOD,4.9170123172,0.2767408487,4.3475832531,15.639706295,6.0835649391,20660.827018,NO,NO,11.60147,5.161428176,0.8,DECIDUOUS,43.446542469
578,AC ACPA,ACPA,4.2426406871,2,1.327326,GOOD,2.0726760627,0.1166550124,1.5615425771,2.5814289731,1.0610477322,3718.9488633,NO,NO,4.9512557314,2.0714283965,1,DECIDUOUS,7.2849534104
579,AC ACPA,ACPA,13.076696831,3,2.269806,GOOD,3.5443987108,0.1994869738,1.5615425771,32.695727028,4.1670417237,45665.672356,NO,NO,13.785311875,3.0714283965,1,DECIDUOUS,73.725537503
591,AC ACPA,ACPA,5.8309518948,2.7,2.010624,GOOD,7.809156953,0.4395174515,3.8839469503,4.3420060762,3.1159752174,7024.6811861,NO,NO,7.4324218948,2.861428176,0.8,DECIDUOUS,14.915962587
617,AC ACPA,ACPA,20,5,19.635,GOOD,45.569258218,2.5647434622,2.3208178364,89.252167311,9.3497955974,76919.368915,NO,NO,20.899702247,5.0906899865,1,DECIDUOUS,197.20392582
622,AC ACPA,ACPA,22,6.3,19.635,GOOD,47.834551577,2.6922394224,2.43618801,113.72735111,10.741188867,88383.606954,YES,NO,22.899702247,6.3906899865,1,DECIDUOUS,248.93707996
621,AC ACPA,ACPA,26,6.7,33.18315,GOOD,117.40542582,6.6078494596,3.5381037007,165.73594834,13.241890651,114587.57961,YES,NO,26.899702247,6.7906899865,1,DECIDUOUS,357.95567798
619,AC ACPA,ACPA,20,6,15.90435,GOOD,47.343611237,2.6646081623,2.9767712127,91.567309589,9.5226319443,76919.368915,YES,NO,20.899702247,6.0906899865,1,DECIDUOUS,202.17988307
646,AC ACPA,ACPA,6,2.6,0.950334,GOOD,4.793484696,0.2697884279,5.044,4.5953091161,3.2006816236,7437.8977265,NO,NO,7.60147,2.761428176,0.8,DECIDUOUS,15.591981479
666,AC ACPA,ACPA,4,2.8,1.539384,GOOD,4.357514534,0.2452510168,2.8306871671,2.4068046166,1.3508815704,3305.7323229,NO,NO,4.8997022472,2.8906899865,1,DECIDUOUS,7.5153723739
