ES_id,Area_prop(%),Species,Ht(m),Missing ,Re_Ht,Re_Missing 
1,0.1125,RHSP1,0.5,30,3,4
1,0.16875,RHSP1,0.5,30,3,4
1,0.25,RHSP1,0.5,5,3,1
1,0.25,RHSP1,0.5,5,3,1
1,0.0375,ABGR4,0.3,10,2,2
1,0.0625,MA11,0.8,25,4,3
1,0.2025,SPTH2,0.9,20,4,3
1,0.0625,MA11,0.5,35,3,4
1,0.03,MA11,0.4,65,2,7
1,0.1,MA11,0.5,20,3,3
1,0.06,HYMO2,0.7,45,3,5
1,0.2,ABGR4,1,25,5,3
1,0.0225,MA11,0.3,55,2,6
1,0.6,BUMI1,1,30,5,4
1,0.075,SPTH2,1.1,35,5,4
1,0.225,BUMI1,1,20,5,3
2,0.09,SC3,1.6,15,7,2
2,0.045,SC3,0.4,20,2,3
2,0.1225,CAJA9,1.8,15,8,2
2,0.0225,MACLASS,0.3,70,2,8
2,0.01,ROHY,0.3,20,2,3
3,1.44,AUJA,1.95,80,8,9
3,0.075,CAJA9,1.5,95,7,10
3,0.375,CRJA,1.5,80,7,9
3,0.45,LISU8,1.5,80,7,9
3,0.09,CAJA9,1.2,90,5,10
3,0.15,GA2,1,80,5,9
3,0.075,AUJA,0.6,65,3,7
3,0.15,AUJA,0.7,40,3,5
3,0.5,AUJA,1.5,50,7,6
3,0.1225,PIJA,1.8,50,8,6
3,0.45,AUJA,1.5,80,7,9
3,0.25,GA2,1.4,25,6,3
3,0.175,CAJA9,1.2,10,5,2
3,0.0225,ARCR80,0.3,70,2,8
4,0.13,RHIN1,0.45,10,2,2
4,0.065,NADO,0.3,30,2,4
4,0.13,RHIN1,0.45,10,2,2
4,0.065,NADO,0.3,30,2,4
4,0.105,FRGR1,1.1,25,5,3
4,0.04,ROCH,0.5,40,3,5
4,0.36,OLEU,1.8,20,8,3
4,0.325,FRGR1,1.8,50,8,6
4,0.04,LAAN81,0.4,15,2,2
5,0.25,RHIN1,0.3,30,2,4
5,0.3,RHIN1,0.31,25,2,3
5,0.25,RHIN1,0.32,35,2,4
5,0.375,MACLASS,0.33,15,2,2
5,0.375,MACLASS,0.34,15,2,2
5,0.375,MACLASS,0.35,15,2,2
6,0.25,PHGL,0.45,10,2,2
6,2,PHGL,0.45,20,2,3
6,0.325,PHGL,0.45,10,2,2
6,1.7689,RHSP1,0.5,5,3,1
6,1.3225,RHSP1,0.5,15,3,2
6,0.25,PITO,0.4,25,2,3
7,0.0625,HYSP,1.2,50,5,6
7,0.09,SAIN3,0.7,10,3,2
7,0.01,ROHY,0.3,15,2,2
7,0.045,MACLASS,0.5,35,3,4
7,0.0125,HYSP,0.45,30,2,4
7,0.01,PRPE2,0.45,40,2,5
7,0.09,HYQU3,0.6,10,3,2
7,0.04,HYSP,0.45,40,2,5
7,0.0225,SASE2,1.5,70,7,8
7,0.0625,ROCH,0.6,65,3,7
8,0.0225,NADO,1.3,95,6,10
8,0.015,CESI4,0.6,90,3,10
8,0.06,LAIN,0.3,95,2,10
8,0.015,MUAX2,1,90,5,10
8,0.045,ARCR80,0.3,30,2,4
8,0.0314,NADO,1.7,83.52941176,7,9
8,0.0176625,NADO,1.7,85.88235294,7,9
8,0.039740625,NADO,1.9,94.73684211,8,10
8,0.110390625,VIOD,1.5,94.66666667,7,10
8,0.0176625,NADO,1.6,91.25,7,10
8,0.059365625,MAJA,1.8,82.22222222,8,9
8,0.1256,HYSP,1.8,41.66666667,8,5
9,0.4225,LISI,1.3,15,6,2
9,0.78,HISY,1.9,20,8,3
9,0.25,HISY,1.9,20,8,3
9,0.175,HISY,1.8,25,8,3
9,0.105,EUJAAM,1.7,30,7,4
9,0.5,RHSP1,1.5,15,7,2
9,0.1225,SPTH2,1.1,75,5,8
9,0.0625,RHSC3,0.5,30,3,4
9,0.04,ROCH,0.6,80,3,9
9,0.005625,MACLASS,0.3,30,2,4
9,1.5,MACLASS,0.6,30,3,4
11,0.2826,LAIN,1.8,46.66666667,8,5
11,0.19625,LAIN,1.5,72,7,8
11,0.19625,COFL,1.8,64.44444444,8,7
12,0.015,CESI4,0.3,30,2,4
12,0.0225,LILU,0.3,30,2,4
12,0.0225,TRSE6,0.3,45,2,5
12,0.075,CESI4,0.9,35,4,4
12,0.0625,TRSE6,0.6,25,3,3
12,0.0625,BRPA,0.5,15,3,2
12,0.015625,MEAZ,0.5,35,3,4
12,0.01,BRPA,0.3,35,2,4
13,0.0625,RHIN21,0.4,80,2,9
13,0.8,MACLASS,1.8,30,8,4
13,0.2025,CICA,1.8,35,8,4
13,0.09,BRPA,1.8,55,8,6
13,0.0225,CESI4,1.4,75,6,8
13,0.105,MA17,1.8,70,8,8
13,0.075,CESI4,1.6,65,7,7
13,0.0225,MA17,0.6,75,3,8
13,0.0025,CESI4,0.6,80,3,9
13,0.0125,CESI4,0.6,85,3,9
