"","id","species","ht","missing","area_prop"
"629",1,"BUMI1",1,30,0.6
"15",1,"MACLASS",0.77,30,1.0775
"761",1,"RHSP1",0.5,17.5,0.78125
"1407",3,"AUJA",1.95,80,1.44
"50",3,"AUJA",1.075,58.75,1.175
"3",3,"MACLASS",1.26666666666667,66.25,1.71
"4",4,"MACLASS",0.816666666666667,25.4166666666667,1.26
"64",5,"MACLASS",0.34,15,1.125
"705",5,"RHIN1",0.31,28.75,0.8
"84",6,"PHGL",0.45,10,0.575
"275",6,"PHGL",0.45,20,2
"17",6,"RHSP1",0.5,5,1.7689
"138",6,"RHSP1",0.5,15,1.3225
"7",8,"MACLASS",1.115625,76.872342084375,0.559321875
"473",9,"HISY",1.86666666666667,21.6666666666667,1.205
"574",9,"MACLASS",0.6,30,1.5
"8",9,"MACLASS",1,39.2857142857143,1.258125
"9",11,"MACLASS",1.725,61.8888888875,0.6751
"711",13,"MACLASS",1.8,30,0.8
"11",13,"MACLASS",1.25714285714286,58.0555555555556,1.023125
"12",14,"MACLASS",0.740625,53.984375,1.1225
"814",15,"MACLASS",1.52,41.066666664,0.98125
"131",15,"MACLASS",0.863636363636364,54.9147727272727,1.465625
"284",16,"GA2",1.16666666666667,53.75,1.0775
"815",16,"MACLASS",1.6,45,0.5625
"1288",16,"MACLASS",1.65,70,0.625
"1303",16,"MACLASS",1.83333333333333,70,1.08
"14",16,"MACLASS",0.585714285714286,44.2857142857143,0.945
"803",16,"QUAL2",1.3,40,0.81
"955",16,"QUAL2",1.4,55,1.08
"1127",18,"CECH",1.6,65,0.64
"204",20,"QUAL2",1.3,10,1.125
"440",22,"FAJA",1.5,20,0.75
"18",22,"MACLASS",1.07142857142857,51.0714285714286,0.8325
"523",22,"NADO",1.3,30,0.6525
"77",24,"CAJA9",1.275,57.5,0.9625
"20",24,"MACLASS",0.963888888888889,55.174635610463,3.19989375
"1390",25,"EUJAAM",1.7,80,0.5625
"21",25,"MACLASS",1.17083333333333,66.7300689508333,0.862465625
"708",25,"RHIN1",0.366666666666667,35,0.675
"23",26,"ABGR4",1.15,5,0.63
"221",26,"MACLASS",0.845454545454545,56.780303030303,2.3175
"231",27,"MACLASS",1.01,50.5,0.505
"381",28,"AUJA",1,25,1.125
"432",28,"AUJA",1.7,20,1.125
"668",28,"AUJA",1.7,30,1
"101",30,"CASA",1.7,54.5510835908333,0.63656875
