TreeKey,ProjectName | Series | Year | PlotId,ProjectName | Series | Year | Plot | LandUse,TreeId,CityManaged,DirectionfromCenter,DistancefromCenter,TreeStatus,HeighttoCrownBase,TreeHeightLiveTop,TreeHeightTotal,CrownWidth1,CrownWidth2,CrownLightExposure,CrownPosition,PercentCrownMissing,Transparency,CrownDensity,ProjectName | Series | Year | Condition,PercentImperviousBelow,PercentShrubBelow,StreetTree,SiteType,StreetKey,Address,LocSite,LocNo,MtncRec,MtncTask,SwDamg,WireConflict,OtherOne,OtherTwo,OtherThree,PestTSDieback,PestTSEpiSprout,PestTSWiltFoli,PestTSEnvStress,PestTSHumStress,PestTSNotes,PestFTChewFoli,PestFTDiscFoli,PestFTAbnFoli,PestFTInsectSigns,PestFTFoliAffect,PestFTNotes,PestBBInsectSigns,PestBBInsectPres,PestBBDiseaseSigns,PestBBProbLoc,PestBBAbnGrowth,PestBBNotes,PestPest,PestTS,PestFT,PestBB,yCoordinate,xCoordinate,SurveyDate,NoteThisTree,Comments,Revision,Species,UserId
{E55D43AA-3CFD-4627-94B8-1AFA85148C94},Kyoto | Kyoto_2019 | 2019 | 1,Kyoto | Kyoto_2019 | 2019 | 1 | Transportation,01,0,-1,-1,P,2.3,6,6,3.6,3.6,5,-1,13,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,83,0,Yes,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,MACLASS,
{C69BCD92-5E95-433A-AD9E-A5F39B9F1398},Kyoto | Kyoto_2019 | 2019 | 1,Kyoto | Kyoto_2019 | 2019 | 1 | Transportation,02,0,-1,-1,P,1.4,6,6,2.7,2.7,4,-1,18,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,0,0,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,CEJA,
{6CE8FFEE-1696-491E-A1EF-657AE3874096},Kyoto | Kyoto_2019 | 2019 | 1,Kyoto | Kyoto_2019 | 2019 | 1 | Transportation,03,0,-1,-1,P,2.8,5.5,5.5,3.5,3.5,3,-1,18,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,0,0,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,FRGR1,
{6BCD6322-6716-40C6-B86C-CD733DA0A187},Kyoto | Kyoto_2019 | 2019 | 1,Kyoto | Kyoto_2019 | 2019 | 1 | Transportation,04,0,-1,-1,P,1.8,4,4,3.2,3,3,-1,8,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,0,0,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,FRGR1,
{CF688D0F-CBF5-41C1-A4AB-6F5C2E1BE344},Kyoto | Kyoto_2019 | 2019 | 1,Kyoto | Kyoto_2019 | 2019 | 1 | Transportation,05,0,-1,-1,P,1.3,5,5,3.5,3.5,3,-1,28,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,0,28,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,FRGR1,
{D2D97C4B-2CC6-47AF-ADC0-A5876331D856},Kyoto | Kyoto_2019 | 2019 | 1,Kyoto | Kyoto_2019 | 2019 | 1 | Transportation,06,0,-1,-1,P,1.5,6,6,3.5,3.5,4,-1,18,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,0,28,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,QUMY1,
{211A4395-70DE-4F73-93AE-BC3392DB2DB7},Kyoto | Kyoto_2019 | 2019 | 1,Kyoto | Kyoto_2019 | 2019 | 1 | Transportation,07,0,-1,-1,P,1.3,2.3,2.3,2.5,2.3,2,-1,8,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,0,68,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,STJA,
{A43F4DC2-FD2D-497C-A320-0545982109C2},Kyoto | Kyoto_2019 | 2019 | 1,Kyoto | Kyoto_2019 | 2019 | 1 | Transportation,08,0,-1,-1,P,0.6,5,5,3.1,3.1,4,-1,13,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,0,33,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,FRGR1,
{55E91426-321E-4553-BBD7-9BF59E40E6A6},Kyoto | Kyoto_2019 | 2019 | 3,Kyoto | Kyoto_2019 | 2019 | 3 | Temple/Shrine,01,1,-1,-1,I,2,10,10,5.4,6,4,-1,38,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,0,0,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,CICA,
{7D4D5A2F-E574-43C7-8658-7D6CF31D75CC},Kyoto | Kyoto_2019 | 2019 | 3,Kyoto | Kyoto_2019 | 2019 | 3 | Temple/Shrine,02,1,-1,-1,P,1.5,5,5,3,2,2,-1,68,-1,-1,Kyoto | Kyoto_2019 | 2019 | 95% - 99%,48,0,No,,,,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,FALSE,FALSE,FALSE,,,,No,,1,CHOB,
