SppCode,Genus,Species Name,Common Name
RUDE8,Salix,x bebbii,Aberdeen dewberry
RUID,Salix,x beschelii,American red raspberry
RUSC2,Salix,x dieckiana,Androscoggin blackberry
RURE2,Salix,x ehrhartiana,Arching dewberry
SALA1,Salix,x glatfelteri,Arroya willow
SAAT,Salix,x grayi,Athabasca willow
SASE2,Rubus,x paracaulis,Autumn willow
SAPY,Salix,x peasei,Balsam willow
SABA3,Salix,x princeps-ourayi,Barclay's willow
SABA4,Salix,x rubella,Barratt's willow
RUBA,Salix,x rubens,Barton's raspberry
SAVI,Salix,x smithiana,Basket willow
RUEX3,Salix,x solheimii,Baton rouge blackberry
SAMY2,Salix,x waghornei,Bayberry willow
VAMA3,Vaccinium,x margarettiae,Margarett's huckleberry
VAMA2,Vaccinium,x marianum,Vaccinium
VACA11,Vaccinium,x carolinianum,Carolina huckleberry
AEWO,Aesculus,x worlitzensis,Aesculus x worlitzensis
ALFA4,Alnus,x fallacina,Alder
QUAL2,Quercus,x alvordiana,Alvord oak
CYAM4,Cyrtandra,x ambigua,Ambiguous cyrtandra
CRAN6,Crataegus,x anomala,Anomalous hawthorn
AMGR,Amelanchier,x grandiflora 'Autumn',Apple serviceberry
CEAR2,Ceanothus,x arcuatus,Arching ceanothus
ARKA,Argyroxiphium,x kai,Argyroxiphium x kai
PUSU2,Purshia,x subintegra,Arizona cliffrose
COAR7,Cornus,x arnoldiana,Arnold dogwood
MAAR7,Malus,x arnoldiana,Arnold's apple
RHAS,Rhus,x ashei,Ash'c sumac
QUAS3,Quercus,x ashei,Ash's oak
VAAT3,Vaccinium,x atlanticum,Atlantic huckleberry
QUAT,Quercus,x atlantica,Atlantic oak
ACFRJE,Acer,x freemanii jeffersred,Autumn blaze
CYAX,Cyrtandra,x axilliflora,Axilflower
RHBA4,Rhododendron,x bakeri,Bajer's rhododendron
CEBA,Ceanothus,x bakeri,Baker's ceanothus
POJA2,Populus,x jackii,BalmÅ]ofÅ]gilead
QUBE5,Quercus,x beadlei,Beadle's oak
QUBE2,Quercus,x beaumontiana,Beaumont's oak
QUBE3,Quercus,x bebbiana,Bebb's oak
QUBE8,Quercus,x beckyae,Becky's oak
LOBE,Lonicera,x bella,Belle honeysuckle
QUBE9,Quercus,x benderi,Bender oak
ARBE3,Arctostaphylos,x benitoensis,Benito's mazanita
QUBE4,Quercus,x bernardiensis,Bernard's oak
MAPL,Malus,x platycarpa,Bigfruit crab
SPBI2,Spiraea,x billiardii,Billard's spirea
JUBI3,Juglans,x bixbyi,Bixby walnut
BABL,Bauhinia,x blakeana,Blake's bauhinia
PRX,Prunus,x blireana,Blireana plum
BECA4,Betula,x caerulea,Blue birch
QUBL,Quercus,x blufftonensis,Bluffton's oak
FRBL,Frangula,x blumeri,Blumer buckthorn
ROBO3,Rosa,x borboniana,Bourbon rose
ABPH,Abies,x phanerolepis,"Bracted balsam fir"
AECABR,Aesculus,x carnea 'Briottii',Briottii horsechestnut
QUBR,Quercus,x brittonii,Britton's oak
CABR16,Carya,x brownii,Brown's hickory
LOBR,Lonicera,x brownii,Brown's honeysuckle
SPBU,Spiraea,x bumalda,Bumald spiraea
QUBU3,Quercus,x burnetensis,Burnet's oak
AEBU,Aesculus,x bushii,Bush's chesnut
QUBU,Quercus,x bushii,Bush's oak
QUBY,Quercus,x byarsii,Byars' oak
QUCA3,Quercus,x caesariensis,Caesar oak
ARCA33,Arctostaphylos,x campbelliae,Campbell manzanita
QUCA2,Quercus,x capesii,Cape oak
POCA2,Populus,x canadensis,Carolina poplar
CRLA,Crataegus,x lavallei,Carriere hawthorn
CACL7,Caryopteris,x clandonensis,Caryopteris
COMO2,Coprosma,x molokaiensis,Chelsea's mirrorplant
AEMU,Aesculus,x mutabilis,Chesnut
SYCH,Syringa,x chinensis,Chinese lilac
CYCH4,Cyrtandra,x christophersenii,Christoperson's cyrtandra
CIJA,Citrus,x jambhiri,Citrus x jambhiri
CLLE3,Clermontia,x leptoclada,Clermontia
LECO8,Ledum,x columbianum,Coast labradortea
QUCO5,Quercus,x cocksii,Cock's oak
CACO24,Carya,x collina,Collin hickory
ARCO23,Arctostaphylos,x coloradensis,Colorado manzanita
QUCO4,Quercus,x columnaris,Column oak
TIEU1,Tilia,x europaea,Common lime
TIEU,Tilia,x vulgaris,Common linden
QUCO3,Quercus,x comptoniae,Compton's oak
CYCO8,Cyrtandra,x conradtii,Conradt's cyrtandra
CRBR13,Crataegus,x brevipes,Crataegus x brevipes
CRGR,Crataegus,x grignonensis,Crataegus x grignonensis
CRHA3,Crataegus,x haemacarpa,Crataegus x haemacarpa
CRIM,Crataegus,x immanis,Crataegus x immanis
CRIN10,Crataegus,x incaedua,Crataegus x incaedua
CRMA11,Crataegus,x maligna,Crataegus x maligna
CRNO2,Crataegus,x notha,Crataegus x notha
CRPU8,Crataegus,x puberis,Crataegus x puberis
CRRU10,Crataegus,x rubrocarnea,Crataegus x rubrocarnea
CRSI3,Crataegus,x simulata,Crataegus x simulata
